epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5027.04,1.23206,0.75431,1.47695,0.9578,0.95964,0.9801,0.73228,0.95877,0.46535,1.28643,0.000414222,0.000414222,0.000414222
43,5981.08,1.21452,0.7346,1.45374,0.95896,0.96861,0.98057,0.74,0.94057,0.45776,1.26455,0.000410262,0.000410262,0.000410262
44,6931.47,1.20614,0.72978,1.44994,0.95667,0.97367,0.97827,0.73932,0.92328,0.45564,1.26151,0.000406234,0.000406234,0.000406234
45,7880.83,1.1986,0.73222,1.45061,0.9535,0.9655,0.97977,0.74452,0.92613,0.44988,1.2511,0.000402138,0.000402138,0.000402138
46,8834.72,1.18755,0.73031,1.4441,0.9558,0.96966,0.97941,0.74475,0.91689,0.44806,1.2553,0.000397977,0.000397977,0.000397977
47,9785.84,1.1851,0.72864,1.43814,0.95241,0.9716,0.98246,0.74941,0.92149,0.4453,1.26019,0.000393752,0.000393752,0.000393752
48,10734.1,1.16543,0.71239,1.42747,0.95769,0.97085,0.98088,0.75602,0.89503,0.44399,1.24384,0.000389464,0.000389464,0.000389464
49,11684.9,1.18198,0.7122,1.43226,0.96451,0.97608,0.98334,0.75902,0.88633,0.43062,1.22954,0.000385117,0.000385117,0.000385117
50,12660.4,1.20321,0.72368,1.45176,0.96469,0.96861,0.98219,0.75631,0.8854,0.42857,1.22849,0.000380712,0.000380712,0.000380712
51,13608.4,1.19924,0.72455,1.44248,0.96502,0.97085,0.98564,0.76043,0.87979,0.42644,1.22262,0.00037625,0.00037625,0.00037625
52,14565.1,1.17832,0.70235,1.42578,0.96234,0.9716,0.98389,0.76538,0.86329,0.4224,1.2113,0.000371734,0.000371734,0.000371734
53,15518.8,1.17421,0.69489,1.41994,0.96291,0.9716,0.98013,0.77099,0.85008,0.41331,1.19968,0.000367166,0.000367166,0.000367166
54,16465.8,1.20729,0.72524,1.44712,0.9624,0.96936,0.98216,0.77382,0.84643,0.41332,1.20099,0.000362547,0.000362547,0.000362547
55,17415.1,1.21286,0.72249,1.4507,0.96834,0.96786,0.98357,0.77739,0.83889,0.40905,1.19283,0.00035788,0.00035788,0.00035788
56,18367.2,1.19405,0.71295,1.43654,0.96625,0.96936,0.98328,0.78072,0.82651,0.4012,1.18511,0.000353167,0.000353167,0.000353167
